File,Algorithm,Hash,Entropy
byte0020.dat,SHA-256,8d6df02738597d95e2eb9e870d4177339728d9ab8b8d61aa96f0b6d1b5ad6efd,4.875
byte0020.dat,SHA3-256,d243775efbc0c95bdce19bc5995037e6b397daa0c765f7d6864b12b1b9b21085,5.0
byte0020.dat,Blake2b,a8e4e008f373303ca9685ace36c94c35953de8b5f30a74de9ab612f7d38acbff065a9e1b090b613a446f44d4eb1da84ce19039f0454fc3a07aff27d1257a1d46,5.75
byte0021.dat,MD5,f11d91eae492225cbd82ef356aa96f9f,4.0
byte0021.dat,SHA-1,1eae0373c1317cb60c36a42a867b716039d441f5,4.321928094887363
byte0021.dat,SHA-256,d0a9699291dead3f6fba3b648c28537a04caea4b96b145802c06125a17c3faba,4.9375
byte0021.dat,SHA3-256,659531d2b94b109d19fb4fa32c529d70b326e595135b7db20b4b5adb710a130c,4.75
byte0021.dat,Blake2b,ce6d9b7c265e1d35c0807e8bf2760557f5c636d53151fd502efbd4ba28fe60da572c283f486e1ec903d125701a86c25043ba13181c6b09e0031295e30660109c,5.8125
byte0022.dat,MD5,26bd8b480216c723ce75da98b9bd430c,3.875
byte0022.dat,SHA-1,9c3834589e5bffac9f50950e0199b3ec2620bec8,4.321928094887363
byte0022.dat,SHA-256,d504026213b322cbcb0dbadd6a1fc6c708825019da9bac7aec973f750cbf2d3d,4.9375
byte0022.dat,SHA3-256,4cd8bf8bad84062d4fad44b9fc3330bfc2a0b6b0bd6abf88eb626d3bc9cda623,4.788909765557392
byte0022.dat,Blake2b,470d85f2fae820bb2d0bdcd7c1f6b747683bbf75dec7a4db84ad347757d52ba682db13144d5eaa4a460ce977f735243753b9480a8402af8afa5ce811660c8609,5.78125
byte0023.dat,MD5,80999c2d12f623e4f87e0550a8e3523a,4.0
byte0023.dat,SHA-1,209f7abc7f3b878ee46cdf3a1fbb9c21c3474f32,4.321928094887363
byte0023.dat,SHA-256,66c1a2578b41c3a200296e85d4d30a1876f8ca5cb941ffb1420e04d8e37149a5,4.875
byte0023.dat,SHA3-256,b2d8812433d3eb3f81e350ebb695b7212d268211bbd2d289d643db4089355d5a,4.75
byte0023.dat,Blake2b,b95569fd1b60c524e24e50db7a0b21bfed7f53ed31212ea01687bc246cc3a97aba8a9c5b2c52679dedad1d55fb4bed9cae04dbbc02e02fff157985dc2266c439,5.65625
byte0024.dat,MD5,00945c1bd739ce389ac24bb93f6f9a85,3.875
byte0024.dat,SHA-1,05fc054b00d97753a9b3e2da8fbba3ee808cef22,4.221928094887363
byte0024.dat,SHA-256,b8a87b047350912e4861e4aab7d1046d5372797ecea81d187f8e2c117db535dd,4.875
byte0024.dat,SHA3-256,8277dc6759536994882c0e0a3c1c94e6763699bb4bbb6cb928a2becb5139bc47,4.875
byte0024.dat,Blake2b,e2d32d8fce726788a182fdbb3df9aa11aead97a6372fa25128b84a62b2dcc7ad3737686fca4ef6e8ba9a55dce17afead29b307fc23c40a5a1fb9650c85a6a6e2,5.714614648336087
byte0025.dat,MD5,7ab55f0bd5dca5b17ecaa7fef73ed87b,4.0
byte0025.dat,SHA-1,0c4980ea3a46c757dfbfc5baa38ac6c8e72ddce7,4.221928094887363
byte0025.dat,SHA-256,8d2b52d4d4074d471d037cdf9eeb13c18ef9ce4949fce00d106ef0880f2db5ed,4.875
byte0025.dat,SHA3-256,cd982c1d0db2869c713d837fd831f0530020891066551feef1d175b80026dd11,4.9375
byte0025.dat,Blake2b,8734e92bd596a4504e583e100e1cb860325620937f845c6b95a2a02d1f95da0990305cc0ad948e66e51f2600ee181857d51f89108cf13ceab1a29d13f9095e9d,5.675704882778696
byte0026.dat,MD5,e3cedd606ad51dd18532abd3079a3e0c,4.0
byte0026.dat,SHA-1,96a460d2972d276928b69864445bea353bdcffd2,4.221928094887363
byte0026.dat,SHA-256,3d182e9928b2433c94255452170e59e3f4cca3dd29ea2e9b01e94e89da595393,4.875
byte0026.dat,SHA3-256,2e91c8232b4c0d4bf9113a9f11e1499511d1629dc3c7781162c888f121dc8b64,4.625
byte0026.dat,Blake2b,3d06597f470ab260822ff323501e3372cbe0752d4b9a2ced532378e7eadfa9b86bf60b80a9107420ae112e9fc38fb3347f7864dd41a4739042a7a5fb123f731b,5.84375
byte0027.dat,MD5,df5ecc6732e22cc25836398a10222e97,4.0
byte0027.dat,SHA-1,f3ef04d8fa8c6fa9850f394a4554c080956fa64b,4.221928094887363
byte0027.dat,SHA-256,17c3f5d88ed7f3f62be0e28913357d65916389c1633db8fb62b92e14230d3611,4.875
byte0027.dat,SHA3-256,afbc32284a3306122dd71f5709ae7dea1806536cb2a908b2bc1b49a9f282cbad,4.75
byte0027.dat,Blake2b,814249f8626f99602b553bcc2ffad193beccd558bf123d605b152ade89cf0976a8b5cd9e10d5952ced950ea4527a0dce20c2a556ab0644bd4a30b0b6262ecc87,5.831954882778696
byte0028.dat,MD5,863b6d9962ee3761bbb9cd8a8367589e,4.0
byte0028.dat,SHA-1,f2a31d875d1d7b30874d416c4d2ea6baf0ffbafe,3.9219280948873627
byte0028.dat,SHA-256,93788128441c894247bd9ccd6fc8af146c0ee76cdbe4e1c5a8dfa81dd0c338b4,4.875
byte0028.dat,SHA3-256,42be4c312a97d08d635fcd77b5543e3150e3d6fd7d725454c0b31291f506760b,4.788909765557392
byte0028.dat,Blake2b,41e2ea0b662b44080b8d86fd50880395ab97eded579412ec406e5febe450c9471c4c1607d40a007676f53c85ea90816b3ea5d2be245660da98897dd0cc488e6e,5.8125
