Encryption Time (s),Decryption Time (s),Encryption Avg CPU (%),Decryption Avg CPU (%),Encryption Peak Memory (MB),Decryption Peak Memory (MB),File Size (bytes),Algorithm
0.18973398208618164,0.18837308883666992,96.415625,100.0,545.5,545.5,2097152,3DES
0.0031762123107910156,0.003132343292236328,96.8125,100.046875,545.5,547.125,2097152,ChaCha20
0.054624080657958984,0.05563211441040039,96.878125,100.003125,547.125,547.125,2097152,Camellia (128-bit)
0.00045371055603027344,4.792213439941406e-05,0.0,100.0,547.125,547.125,51200,AES (128-bit)
0.004662036895751953,0.0047490596771240234,0.0,100.0,547.125,547.125,51200,3DES
3.0994415283203125e-05,3.218650817871094e-05,0.0,99.8,547.125,547.125,51200,ChaCha20
0.0012831687927246094,0.0012919902801513672,0.0,100.0,547.125,547.125,51200,Camellia (128-bit)
2.002716064453125e-05,1.4066696166992188e-05,0.0,98.4,547.125,547.125,5120,AES (128-bit)
0.0004971027374267578,0.0004668235778808594,0.0,99.7,547.125,547.125,5120,3DES
1.0013580322265625e-05,9.298324584960938e-06,0.0,82.7,547.125,547.125,5120,ChaCha20
0.00014901161193847656,0.00014209747314453125,0.0,99.3,547.125,547.125,5120,Camellia (128-bit)
0.020863056182861328,0.01983189582824707,98.25874999999999,99.20875,547.59375,547.59375,5242880,AES (128-bit)
0.47855210304260254,0.47907018661499023,98.64125,99.94624999999999,547.59375,547.59375,5242880,3DES
0.016338825225830078,0.016360998153686523,98.75125,99.72875,547.59375,547.59375,5242880,ChaCha20
0.14545226097106934,0.14573001861572266,98.735,99.98125,547.59375,547.59375,5242880,Camellia (128-bit)
0.00019812583923339844,9.417533874511719e-05,49.85,99.75,547.59375,547.59375,102400,AES (128-bit)
0.009018182754516602,0.009044885635375977,50.0,100.0,547.59375,547.59375,102400,3DES
5.888938903808594e-05,5.817413330078125e-05,51.4,101.05000000000001,547.59375,547.59375,102400,ChaCha20
0.002576112747192383,0.002568960189819336,49.95,99.95,547.59375,547.59375,102400,Camellia (128-bit)
2.4080276489257812e-05,1.4781951904296875e-05,0.0,102.9,547.609375,547.609375,10240,AES (128-bit)
0.0009090900421142578,0.0009129047393798828,0.0,99.9,547.609375,547.609375,10240,3DES
1.1920928955078125e-05,1.0967254638671875e-05,0.0,105.1,547.609375,547.609375,10240,ChaCha20
0.0002689361572265625,0.0002639293670654297,0.0,100.5,547.609375,547.609375,10240,Camellia (128-bit)
0.0886220932006836,0.06443405151367188,99.07000000000001,99.49312499999999,563.71875,420.515625,10485760,AES (128-bit)
0.9958329200744629,1.0040240287780762,98.66625,99.2825,393.28125,416.109375,10485760,3DES
0.06234598159790039,0.05524182319641113,99.076875,100.003125,407.078125,407.09375,10485760,ChaCha20
0.3159449100494385,0.32187390327453613,99.123125,99.66125,407.09375,407.09375,10485760,Camellia (128-bit)
1.430511474609375e-05,8.821487426757812e-06,0.0,89.0,407.09375,407.09375,1024,AES (128-bit)
0.00010013580322265625,0.00010085105895996094,0.0,99.2,407.09375,407.09375,1024,3DES
9.059906005859375e-06,7.152557373046875e-06,0.0,101.3,407.09375,407.09375,1024,ChaCha20
3.409385681152344e-05,3.2901763916015625e-05,0.0,94.8,407.09375,407.09375,1024,Camellia (128-bit)
0.0016489028930664062,0.0014269351959228516,93.75,100.00625,407.09375,407.09375,1048576,AES (128-bit)
0.09843802452087402,0.09380197525024414,91.3375,99.95,407.09375,407.09375,1048576,3DES
0.00107574462890625,0.0010209083557128906,93.6625,99.90625,407.09375,407.09375,1048576,ChaCha20
0.028051376342773438,0.027029991149902344,93.425,99.99375,407.09375,407.09375,1048576,Camellia (128-bit)
0.0002288818359375,2.9087066650390625e-05,0.0,100.1,407.96875,407.96875,20480,AES (128-bit)
0.0017888545989990234,0.0017771720886230469,0.0,100.0,407.96875,407.96875,20480,3DES
1.5974044799804688e-05,1.5020370483398438e-05,0.0,103.2,407.96875,407.96875,20480,ChaCha20
0.0005130767822265625,0.0005040168762207031,0.0,100.1,407.96875,407.96875,20480,Camellia (128-bit)
0.3766329288482666,0.479403018951416,97.806875,99.050625,586.96875,615.6875,20971520,AES (128-bit)
2.2715301513671875,2.291538953781128,99.4278125,99.68406250000001,596.46875,620.015625,20971520,3DES
0.4083890914916992,0.40343809127807617,99.5275,99.86812499999999,602.21875,628.859375,20971520,ChaCha20
0.9346439838409424,0.9343380928039551,99.6428125,99.86125,608.84375,628.859375,20971520,Camellia (128-bit)
3.528594970703125e-05,1.3828277587890625e-05,0.0,98.5,571.703125,571.703125,2048,AES (128-bit)
0.00020503997802734375,0.0002009868621826172,0.0,99.7,571.703125,571.703125,2048,3DES
2.002716064453125e-05,9.059906005859375e-06,0.0,98.9,571.71875,571.71875,2048,ChaCha20
6.723403930664062e-05,6.461143493652344e-05,0.0,97.7,571.71875,571.71875,2048,Camellia (128-bit)
0.00476384162902832,0.003898143768310547,96.74375,99.965625,571.71875,571.71875,2097152,AES (128-bit)
0.18653535842895508,0.18850398063659668,96.875,99.98125,571.71875,571.71875,2097152,3DES
0.0033130645751953125,0.003197193145751953,96.78125,99.9375,571.71875,571.71875,2097152,ChaCha20
0.055390119552612305,0.05528903007507324,96.875,100.003125,571.71875,571.71875,2097152,Camellia (128-bit)
0.00017213821411132812,4.57763671875e-05,0.0,95.8,571.71875,571.71875,51200,AES (128-bit)
0.004572868347167969,0.004529237747192383,0.0,100.0,571.71875,571.71875,51200,3DES
2.8133392333984375e-05,2.7894973754882812e-05,0.0,101.0,571.71875,571.71875,51200,ChaCha20
0.0013499259948730469,0.0013120174407958984,0.0,100.1,571.71875,571.71875,51200,Camellia (128-bit)
1.7881393432617188e-05,1.0967254638671875e-05,0.0,99.9,571.71875,571.71875,5120,AES (128-bit)
0.0004611015319824219,0.00045800209045410156,0.0,100.0,571.71875,571.71875,5120,3DES
1.0013580322265625e-05,9.059906005859375e-06,0.0,86.9,571.71875,571.71875,5120,ChaCha20
0.000141143798828125,0.00014090538024902344,0.0,99.4,571.71875,571.71875,5120,Camellia (128-bit)
0.019867897033691406,0.01894402503967285,98.755,99.94125,571.71875,571.71875,5242880,AES (128-bit)
0.47675609588623047,0.48169898986816406,98.73625,99.67875000000001,571.71875,571.71875,5242880,3DES
0.016666889190673828,0.015537023544311523,98.61125,100.03375,571.734375,571.734375,5242880,ChaCha20
0.1457228660583496,0.14624714851379395,98.70125,99.955,571.84375,571.84375,5242880,Camellia (128-bit)
